CC_mean,CC_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,nfe,sigma,gamma1,gamma2,MMD,KL-Divergence
0.9799685146797006,0.019505749233062773,9.647784037202655,4.564850660642617,3.2104516890897496,0.5116324695546667,3,0.2,0.2,1,0.005910152103751898,1.8984816921437427e-16
0.9799708985347536,0.01950742210173362,9.645525719690044,4.562827387424398,3.2075555430199634,0.5067292708950205,3,0.2,0.2,0,0.005910195410251617,1.0676647953991167e-16
0.9799631790790951,0.019500220206625497,9.64508108083364,4.563110160907596,3.206196141401863,0.5060841359239217,3,0.2,0.0,1,0.005909523461014032,1.8300179389647716e-16
0.9799646431605225,0.019511104677312322,9.646343492124204,4.5653184930540895,3.209388293950657,0.5115409195467072,3,0.2,0.0,0,0.005907490383833647,1.3785301227797146e-17
0.9782633291634346,0.020522879509747793,10.018587356180378,4.380035464655102,3.8491349235062855,0.4762909636278167,3,0.5,0.2,1,0.005900111980736256,7.401490033951281e-17
0.9782883275404424,0.020306563285404398,10.01748213182782,4.379349193562061,3.8518205347652343,0.4660150705957985,3,0.5,0.2,0,0.005899287294596434,7.401490033951281e-17
0.9781856973079154,0.020826631125381728,10.02030440858189,4.390092640544406,3.829552085766812,0.4887576115096971,3,0.5,0.0,1,0.005901671480387449,7.401490033951281e-17
0.9781686358759205,0.02084892943215355,10.009860141763962,4.384746990759854,3.8556204062026485,0.4820976511390861,3,0.5,0.0,0,0.005899605341255665,7.401490033951281e-17
0.9799647493468019,0.01950904176252982,9.642959654263652,4.5628675272791055,3.2062489302455166,0.507329697118265,5,0.2,0.2,1,0.005910688079893589,7.03141568966845e-17
0.9799668796581973,0.019497985394603415,9.646073051637456,4.562373277251378,3.2079437158040744,0.5076239755087502,5,0.2,0.2,0,0.005910083185881376,1.3702005695923466e-16
0.9799746384146272,0.019484590744002855,9.645194245250371,4.567173943303033,3.206520172616224,0.5099793880398472,5,0.2,0.0,1,0.00591084361076355,9.83472882687282e-17
0.9799385462182129,0.01954909726075753,9.647861774879937,4.560179247307053,3.209088410870131,0.5078776842640651,5,0.2,0.0,0,0.005909821484237909,-2.377724444310864e-17
0.9782972814862491,0.020493342863014647,10.019444587348422,4.407823603720334,3.846083697205409,0.49142956213922206,5,0.5,0.2,1,0.0058992053382098675,7.401490033951281e-17
0.9781372390659013,0.02103566828251487,10.022018376880952,4.386060270279288,3.840363396726549,0.47925151093131035,5,0.5,0.2,0,0.0059000663459300995,7.401490033951281e-17
0.9782010790386322,0.020838674613306685,10.01589440324746,4.384888776965826,3.845758950227143,0.4733445819633563,5,0.5,0.0,1,0.005900004878640175,7.401490033951281e-17
0.9780685896289316,0.021088100252303486,10.034080696482912,4.397596740586045,3.857268911962762,0.4855705309462143,5,0.5,0.0,0,0.0058998484164476395,7.401490033951281e-17
